Department,Month,Revenue,Expenses,Profit/Loss,Budget Allocation,Forecasted Growth %,Risk Flag
Cybersecurity,Feb-24,9568682,5437832,4130850,9592921.157229133,-2.1,Medium
Medical Research,Feb-24,8685135,1586156,-,6153629.165833186,5.86,High
,Nov-24,3984514,-,2204052,2930690.865795877,nil,Medium
Energy Production,Jun-24,8824183,2144397,6679786,7719689.036244572,-3.05,Medium
R&D,,2503250,7671866,-5168616,1755033.637493584,12.67,Low
Administration,Mar-24,10322066,5924395,4397671,7875771.287613713,1.47,High
R&D,Apr-24,3759461,4401711,-642250,,8.84,Medium
nil,Sep-24,6844051,4812887,2031164,5241801.1008537,10.71,High
Cybersecurity,Apr-24,2028914,2281605,-252691,1588501.140177488,2.9,High
Administration,Jul-24,6434364,7249883,-815519,5767026.971051591,,Medium
Administration,May-24,3004126,-,-4265949,3424164.31497168,10.95,Medium
Defense Systems,Aug-24,5183561,5477321,-293760,5392885.404741367,8.78,
Cybersecurity,Jun-24,4004537,7204386,-3199849,3864609.75801865,13.33,Medium
,Nov-24,2310220,3371459,-1061239,2143546.091598933,12.84,Low
Energy Production,Dec-24,,9831417,724450,8105707.735653182,3.24,Medium
Defense Systems,Dec-24,11624524,10897580,726944,10456019.42337765,8.7,High
Administration,Jun-24,9636566,8585347,1051219,10499795.92804059,12.69,Medium
Energy Production,Apr-24,11907052,8472698,3434354,10236811.31726846,-3.95,Medium
Tech Innovation,Dec-24,4441531,2979746,1461785,3197628.779313382,,Medium
Energy Production,Jan-24,4573494,1928071,2645423,3688652.360535689,6.63,High
Administration,Apr-24,2070612,5864033,-3793421,1810650.312845642,1.67,High
,Feb-24,6430222,10407693,-,4610854.594827485,0.82,High
Defense Systems,May-24,5212745,7708502,-2495757,5389088.76556908,-3.9,Medium
Administration,Nov-24,11023465,9609793,1413672,,10.3,Medium
Energy Production,Feb-24,7005698,1749896,5255802,6279134.050803519,13.89,Low
Tech Innovation,Dec-24,2109313,9641915,-7532602,1555647.050869466,9.79,High
Tech Innovation,,11525748,8595171,-,11418062.70798097,-2.33,Medium
R&D,Jul-24,11566225,10980686,585539,12948410.33763519,-1.13,Medium
Space Exploration,Mar-24,7871903,8952545,-,7703478.461022681,4.74,Low
Defense Systems,Dec-24,4799406,3612016,1187390,5365739.012007494,8.21,High
R&D,Jan-24,6093269,2814198,3279071,4866719.534987188,,-
Tech Innovation,Mar-24,9187589,2859811,6327778,7050619.42686381,6.7,nil
Space Exploration,Jan-24,2965300,2253538,711762,3361217.530636321,6.11,Low
Medical Research,Mar-24,7890526,4104341,,6177432.13391919,-2.94,Medium
Defense Systems,Jan-24,7430575,3067633,4362942,7053598.519460322,-2.51,Medium
Defense Systems,Apr-24,7642456,4603531,3038925,-,-4.24,High
Medical Research,Sep-24,3406674,8382173,,2705268.088006786,0.61,High
Cybersecurity,Apr-24,2388966,3457261,-1068295,2569768.164779091,8.24,Medium
Tech Innovation,Oct-24,11339050,4168591,7170459,,-2.27,Medium
Administration,Jun-24,6617896,7365538,-747642,7863313.382088597,7.94,Medium
Cybersecurity,Jul-24,,4103963,2966220,5946977.420186851,10.68,High
Administration,Feb-24,6622727,9295919,-2673192,7853640.83260667,7.97,Medium
Defense Systems,Dec-24,10857764,9676443,1181321,12958988.21204701,13.19,High
Defense Systems,May-24,5410055,6408435,-998380,5362060.048196707,6.1,High
Energy Production,Nov-24,4343395,7429453,-3086058,3800359.951721205,3.16,Low
,May-24,6171620,2881907,,4761621.164695987,4.77,High
Administration,Mar-24,8762652,4718828,4043824,7283890.53253988,3.91,Medium
Medical Research,Nov-24,11166259,6394872,4771387,11358515.28907925,0.11,Low
Energy Production,Aug-24,4918183,nil,2818222,,13.65,Low
Defense Systems,Jun-24,8151237,9198770,-1047533,8199403.089940039,3.44,Low
R&D,Oct-24,11541148,7471629,4069519,11318223.24102834,2.83,Low
Cybersecurity,Sep-24,4446821,9742303,-5295482,3974675.135575368,7.48,Medium
R&D,Nov-24,2973010,7851575,-4878565,3503886.752079709,0.29,High
R&D,Dec-24,4846593,5426573,-579980,3972806.186866741,-3.27,Low
Defense Systems,Feb-24,6865253,10005070,-3139817,5585915.335902819,3.34,High
Medical Research,Sep-24,9880847,5954659,3926188,9224585.335533643,7.07,High
Cybersecurity,Dec-24,nil,4074283,1046053,6031857.399197724,,-
R&D,Jul-24,10276327,5011317,5265010,10358614.60754849,5.66,High
Defense Systems,Jul-24,7073673,4778973,2294700,8197726.410888879,-4.17,Medium
Cybersecurity,May-24,4649546,7226239,-2576693,4506536.648308855,14.3,Low
Tech Innovation,Jun-24,7884023,6611794,-,8044629.14635203,9.04,Low
Tech Innovation,Jun-24,6095050,5539627,555423,7258207.126905386,,Low
Defense Systems,,9815027,6335193,3479834,9907347.725920616,2.04,Medium
Space Exploration,Apr-24,11575647,4573235,,10283618.51932961,-2,Low
Space Exploration,,4400891,10987316,-6586425,3870263.703009702,7.16,High
Cybersecurity,Mar-24,11382344,4386511,6995833,10950697.49814011,5.49,High
Administration,Dec-24,2569335,3363154,-793819,2297383.627150725,-,Low
Medical Research,Aug-24,10674977,5104457,5570520,9239549.975276848,14.39,Low
Energy Production,,,8186271,-3732722,3567713.1853631,10.99,Low
Energy Production,May-24,7200070,3495611,3704459,5215935.894070995,10.62,Low
Cybersecurity,Feb-24,10428956,9532253,896703,9203817.093052069,-2.99,Medium
Medical Research,Aug-24,7488288,7786874,-298586,7917554.193199617,10.11,Medium
,Oct-24,3608491,-,-5032165,3562388.997555775,11.65,Low
Administration,Jul-24,7636893,8163677,-526784,7279867.464837458,9.82,
Energy Production,May-24,9800969,-,-64207,7849817.612230008,-3.23,Medium
Energy Production,Apr-24,10544315,10613927,-69612,10143522.09258056,-1.13,High
Medical Research,Aug-24,8433897,,,,1.96,Low
,May-24,10487525,8948768,1538757,9015053.446213778,12.61,Low
Medical Research,Sep-24,3051962,8143698,-5091736,,1.11,Medium
Cybersecurity,Jan-24,9809691,nil,4560835,8710839.07233001,5.39,Medium
Cybersecurity,Sep-24,8082486,2398677,5683809,9405141.212747008,6.73,Medium
Administration,Mar-24,11248572,1516552,9732020,11501555.77721295,2.81,Low
Defense Systems,Apr-24,4321454,6635215,-2313761,4882630.407019634,5.08,Medium
Energy Production,Nov-24,10489210,,5378229,11681651.70654448,7.84,Medium
Tech Innovation,Feb-24,5276608,10350221,-5073613,6127579.227951123,5.3,High
R&D,Mar-24,nil,5413962,-1613614,3160162.389473679,1.23,Medium
Cybersecurity,Jan-24,3820741,9333755,-5513014,2776486.382561968,-3.73,Low
Cybersecurity,Feb-24,11744761,7750996,3993765,8686882.770884806,10.42,Low
Energy Production,Mar-24,2852415,4445510,-1593095,2146979.648221101,6.59,Low
Space Exploration,Apr-24,9122895,5760622,3362273,7954685.370274614,8.73,High
Energy Production,Dec-24,3164895,5836050,nil,2397980.969691524,-1.81,High
,Oct-24,2579244,4443217,-1863973,2346118.893557877,1.17,Medium
Medical Research,,9428332,4803903,4624429,6781816.86118931,,High
Space Exploration,May-24,8291888,9217479,-925591,5897705.537606109,9.95,nil
Space Exploration,Aug-24,5876629,3829956,2046673,6224423.94744798,,Low
Space Exploration,Apr-24,6839749,1757037,5082712,5523507.765930217,7.6,Medium
Medical Research,nil,9750549,10864165,-1113616,8878597.211538974,-4.17,Low
Cybersecurity,Feb-24,,10549201,-1983936,6962871.860895041,0.33,High
Tech Innovation,Nov-24,4780349,10381126,-5600777,4996891.030798804,4.28,High
Cybersecurity,Oct-24,5089044,5645864,-556820,4784695.103884563,-0.31,High
Cybersecurity,Nov-24,3227232,5127909,-1900677,3470901.866541485,9.65,Medium
Cybersecurity,Jul-24,3528322,10178065,,3014294.455454597,9.84,Low
Tech Innovation,Dec-24,3916545,10492848,-6576303,3783878.523218085,5.94,Medium
Administration,Oct-24,10311353,,8167027,10303313.26644154,6.5,Low
R&D,Apr-24,8823903,4895158,3928745,8682528.179415295,12.37,Medium
Space Exploration,Mar-24,5740194,9633071,-3892877,6270636.738800545,-0.92,Medium
Defense Systems,Feb-24,8617612,3788226,,7960437.656318234,8.19,High
,Dec-24,4399084,3227641,1171443,4436680.892236868,1.34,Low
Medical Research,Sep-24,3089264,4171370,-1082106,3010522.752575263,0.42,Low
Space Exploration,Sep-24,6349133,3418494,2930639,6086117.233870648,-1.3,
Cybersecurity,Sep-24,4862496,,-3411611,5155527.607987873,11.37,High
Energy Production,Nov-24,8305322,,-1822820,9278453.860293902,6.8,High
R&D,Dec-24,11072935,10723574,349361,12539465.87867303,10.81,Low
Cybersecurity,Jul-24,2338167,2665205,-327038,2491139.172848454,11.45,High
-,Jun-24,11716748,3344206,8372542,12764182.59556942,14.32,High
Energy Production,Feb-24,3198422,1737836,1460586,2698286.225700328,11.19,Low
Administration,Jul-24,10048754,8537084,1511670,7065393.945140804,9.55,Low
Cybersecurity,Feb-24,3387561,5346770,-1959209,,2.64,Medium
Defense Systems,Jul-24,7339786,9210219,-1870433,7498224.421627786,-3.3,
Tech Innovation,Nov-24,5435415,4034976,1400439,5408344.367889124,8.11,Medium
Defense Systems,Feb-24,4008981,4435359,-,3256166.679358666,1.07,Low
R&D,Aug-24,11608062,2591732,9016330,9744680.326456556,5.47,
Cybersecurity,,7009307,8859598,-1850291,6433977.799542177,11.59,Low
R&D,May-24,7792761,5378740,2414021,9187318.296506992,0.73,High
Medical Research,Oct-24,3440763,8035953,-4595190,2998106.478133573,12.97,High
Cybersecurity,Oct-24,9964376,7412167,2552209,11646741.8663277,14.75,Low
Medical Research,Jul-24,6650314,10467521,-3817207,4718865.772876039,0.58,Medium
Cybersecurity,,3098726,10885976,-7787250,3005823.303240275,-1.87,Low
Energy Production,Jun-24,7412450,4928951,2483499,6164031.535587124,,Medium
,Aug-24,9637450,1766939,7870511,8779253.144001635,10.9,Low
Cybersecurity,Jan-24,9944039,5864970,4079069,9205485.511946544,0.12,Medium
Medical Research,Aug-24,8617387,8958801,-341414,8862953.160562309,3.23,High
Space Exploration,Sep-24,8578739,4444312,,7940067.523872789,8.5,Low
R&D,Oct-24,7848862,8860318,-1011456,6871603.258405302,13.92,Medium
Space Exploration,Oct-24,3118597,9640493,-6521896,3483650.673810049,9.22,High
Energy Production,Sep-24,3141405,6474275,-3332870,2895811.010566079,3.47,High
Tech Innovation,Nov-24,11359757,3990657,7369100,12850666.97138677,1.96,
R&D,Jul-24,6505599,4128253,2377346,-,2.53,High
Tech Innovation,-,,9534148,615329,9347536.169702774,14.58,Low
Cybersecurity,Aug-24,4440983,10557322,-6116339,,-4.74,High
R&D,May-24,,6498860,-61852,6501000.574855886,9.28,Medium
Tech Innovation,May-24,3807567,9194107,,2715135.826810442,5.81,Medium
Tech Innovation,Jul-24,4660800,5892247,-1231447,4183155.805158765,2.37,Medium
Medical Research,Sep-24,4944192,9916852,-4972660,5714336.545306341,7.13,Medium
Administration,Sep-24,8408606,3378278,5030328,6292818.17289252,3.05,High
Tech Innovation,Jun-24,7428493,,412492,nil,-3.44,-
Medical Research,May-24,10588651,10543468,45183,11531940.81167569,11.39,Medium
,,9915442,8737739,1177703,10862161.46904803,-1.53,Medium
Administration,Nov-24,6278978,10007922,-3728944,5412074.57458709,-4.2,Low
Medical Research,Sep-24,8089759,2420879,5668880,5718407.586805213,11.07,Low
Medical Research,Nov-24,2949094,,-4146336,2779738.257393249,4.96,Medium
Defense Systems,Mar-24,2738354,7080549,-4342195,nil,3.88,Medium
Medical Research,May-24,4595051,1855516,2739535,4428756.55055454,12.24,Medium
Energy Production,Dec-24,4618985,5745222,-1126237,5204082.876732066,8.12,High
Energy Production,Sep-24,,6748071,233149,8264926.440336031,8.12,High
Space Exploration,Jun-24,6393868,6516485,-122617,5460664.91867214,4.91,High
R&D,Mar-24,4361026,10735655,-6374629,3844591.959680691,3.16,High
Medical Research,Oct-24,,7427753,3351445,7807181.691288657,10.17,High
Tech Innovation,Mar-24,10196650,,1429836,8854206.342776265,1.3,Low
Energy Production,Dec-24,2256535,4487979,-2231444,1890440.086605169,0.34,Medium
R&D,Jan-24,11178422,8896789,2281633,-,-1.69,Medium
R&D,-,8718077,6091925,2626152,7249090.531466623,12.06,
Cybersecurity,May-24,5521618,4308089,1213529,4661677.367170015,-3.09,Low
Cybersecurity,Mar-24,3644096,4412937,-768841,2670359.654600233,13.38,Medium
Defense Systems,Mar-24,11525884,3019902,,10973195.65955221,,Medium
Administration,May-24,7875721,6107501,1768220,7954158.973598285,-2.79,Low
-,Apr-24,7963656,9560350,-1596694,8328285.856899519,10.84,
Cybersecurity,Dec-24,7529917,3485538,4044379,8346628.286582384,3.77,High
Cybersecurity,Nov-24,4451891,,-2610208,4258853.872004661,1.33,Low
Space Exploration,Feb-24,9282646,6580947,2701699,,-0.68,High
R&D,Jun-24,7189142,10881615,-3692473,5166647.688963994,8.91,Medium
R&D,Mar-24,7172218,5066910,2105308,7516279.462228362,8.85,Low
Tech Innovation,nil,3661764,2598335,1063429,,-0.73,High
Energy Production,Mar-24,4019266,8562053,-4542787,4090229.61248057,3.22,
Energy Production,Nov-24,6572034,8486069,-1914035,7207050.118700642,3.37,
Tech Innovation,Mar-24,9865276,6622289,3242987,7949482.535125108,1.75,High
Medical Research,Sep-24,5950743,7452559,-1501816,6379945.584258867,1.51,High
Administration,Oct-24,7913035,6483952,1429083,,11.09,High
Tech Innovation,Aug-24,8668789,8520235,148554,10328235.23402309,3.93,Medium
R&D,Jul-24,6167222,8923801,-2756579,,-3.38,Low
R&D,,2202823,3690055,-1487232,2145734.794188811,4.56,High
Space Exploration,Nov-24,7172717,7503995,-331278,6327939.993776776,13.41,High
Defense Systems,Nov-24,3114630,8879419,-5764789,2508329.856279694,4.52,High
R&D,Jun-24,8885333,6901817,1983516,10618194.43600297,,Low
R&D,Dec-24,4270532,8743061,-4472529,3745513.161327733,-2.52,Medium
Space Exploration,Apr-24,3092025,1689580,1402445,3627783.09599728,3.06,High
Cybersecurity,Oct-24,11099867,7598758,3501109,9129412.752751127,12.07,Low
Space Exploration,Oct-24,3007518,2191527,815991,3428249.302191532,4.32,Low
Space Exploration,,10677869,4923000,5754869,12058495.20749963,-2.67,Medium
Tech Innovation,Jan-24,8735191,4779922,3955269,-,6.63,High
nil,Jun-24,4641241,7798854,-3157613,3702061.349405903,-3.9,High
Medical Research,Apr-24,6795176,3602836,3192340,7119564.760169722,-2.8,Low
R&D,Jun-24,2053923,2763004,-709081,2165721.798274986,1.52,High
R&D,Aug-24,6885037,,-1759539,5209468.802698782,12.67,-
Energy Production,Nov-24,8387793,6090391,2297402,8438966.574136283,-0.25,
R&D,Dec-24,5014433,7333986,-2319553,5809962.593765175,,High
Tech Innovation,Mar-24,6888298,10316779,-3428481,8198160.081828283,13.66,Low
Medical Research,Oct-24,3844829,,,3252494.989049364,3.79,High
Space Exploration,Sep-24,3465640,4559488,-1093848,3860831.560406127,-2.17,High
,Nov-24,5216919,6797567,-1580648,5981783.553786913,4.71,Medium
Administration,Jan-24,11069946,3219357,7850589,10379531.21592998,1.19,
Administration,Oct-24,4929756,1551218,3378538,3678652.432718399,-2.28,High
Tech Innovation,May-24,3276758,8354475,-5077717,3463400.101291166,-0.61,High
Tech Innovation,Nov-24,4319433,1921490,2397943,5090374.459525248,9,Low
Cybersecurity,Oct-24,5586192,10036266,-,6190809.536833247,12.97,Low
Tech Innovation,Jul-24,4799534,8387221,-3587687,5361649.382833946,2.12,
,Aug-24,11152603,10581478,571125,13231927.67538596,,Medium
Medical Research,Mar-24,11862390,,6911109,9643028.588684794,6.02,Low
Defense Systems,Jan-24,10051088,10258405,-207317,10393778.44662728,2.09,High
Energy Production,Mar-24,5687781,4093678,-,4247055.513590539,11.12,Low
Medical Research,Jan-24,7996745,5862520,2134225,7239314.924955411,2.91,Medium
Administration,Aug-24,7041606,4218670,2822936,7783396.95307513,13.49,High
Cybersecurity,Jul-24,6460012,4734406,1725606,6113001.943042166,10.87,High
Administration,Mar-24,9409949,7720280,1689669,9799703.659196459,13.42,High
Energy Production,Nov-24,6811929,10857069,-4045140,6441272.417046899,9.76,High
Administration,Nov-24,5678481,9602577,-3924096,6366657.150328255,7.58,High
Tech Innovation,Sep-24,8630259,3811113,4819146,6234787.767536596,5.23,Medium
Tech Innovation,Sep-24,9002619,,-310211,10043608.39780745,2.73,High
Medical Research,Jan-24,,4583471,,2231158.545289251,3.97,Medium
Administration,Aug-24,6560778,5089326,1471452,5818391.853927039,11.82,High
Defense Systems,Apr-24,5556367,4884582,671785,5662778.395995583,-1.58,High
Energy Production,nil,3477784,,-5924411,2439464.228479404,-,Medium
R&D,Jun-24,7782252,-,,7520215.642693626,13.32,Medium
Tech Innovation,Nov-24,7871964,,4283033,7286834.835845974,14.35,-
Space Exploration,Oct-24,8501451,7062798,1438653,7412815.155782534,5.79,Low
R&D,,11688328,5407804,6280524,10329027.83664853,-2.64,Low
Energy Production,Feb-24,nil,4011939,3928854,8271916.541432835,,High
Medical Research,Mar-24,8584261,4085241,4499020,9263013.760162776,7.21,Low
R&D,Sep-24,7491255,8721837,-1230582,5353256.210811852,5.95,High
R&D,Dec-24,10237963,6113065,4124898,11368284.60597247,0.74,High
Space Exploration,Jul-24,6389774,,-16110,7172584.470435678,14.47,Low
Energy Production,Apr-24,2980078,3827606,-847528,2593074.102583336,8.92,Medium
Tech Innovation,Sep-24,4046823,2439670,1607153,3468614.71684506,3.12,Low
Cybersecurity,Jul-24,6127523,4047963,2079560,5404442.295392886,-,High
Administration,Nov-24,2070512,4285587,,2396164.91163238,13.74,Medium
Administration,May-24,10103577,10907904,-804327,11147383.59215783,4.56,Medium
Tech Innovation,Oct-24,10014367,8201870,1812497,9656211.994858291,-1.53,High
Tech Innovation,Nov-24,6085666,,-2676481,4302810.433552142,13.09,Low
R&D,Aug-24,4288096,1945112,2342984,4166111.265393943,12.25,Medium
Energy Production,Mar-24,4897379,6671553,-1774174,4573751.595828489,nil,High
Administration,Dec-24,4189967,10689957,-6499990,3025034.275853045,-4.86,High
Space Exploration,Apr-24,,8638127,-5193269,3818595.174306998,8.67,Low
Administration,Dec-24,4052002,5958086,-1906084,,8.47,Medium
Defense Systems,Sep-24,8499174,9073781,-574607,,9.04,Medium
Defense Systems,Jul-24,7473787,8752184,-1278397,8264028.780357465,3.36,Medium
,Apr-24,9449656,2236661,7212995,9755164.210447082,10.97,High
Space Exploration,Apr-24,11177067,-,3592345,12257893.30115549,-4.17,Medium
Cybersecurity,Feb-24,4909939,2777706,2132233,3475458.447601848,0.38,High
Energy Production,,2984817,8506598,-5521781,2177627.773031163,-1.06,Low
Energy Production,Sep-24,7419026,,nil,5520866.975014814,3.59,Low
Cybersecurity,Apr-24,8239151,8536111,-296960,7267912.447257227,-4.73,Low
Medical Research,Apr-24,3202456,10345097,-7142641,2326228.701811969,5.13,High
Cybersecurity,Jul-24,9129852,10360489,-1230637,10863871.00608511,7.76,Medium
Energy Production,Sep-24,4003422,nil,,4226229.40054118,-,High
Cybersecurity,Dec-24,2912516,2885235,,2885877.705039883,9.29,Medium
Energy Production,Jul-24,8597333,-,740129,9170533.136973538,7.88,High
Medical Research,,3663768,6797683,-3133915,2644014.991619379,0.87,Low
Defense Systems,Jun-24,10975756,10126606,849150,9150041.205641221,14.76,Medium
R&D,Sep-24,7704523,7783119,-78596,6145995.224574168,8.13,Medium
Tech Innovation,Apr-24,4075503,5626216,-1550713,,1.39,
nil,Sep-24,11055896,7830924,3224972,11261088.83331703,5.04,High
Energy Production,Sep-24,11923407,3811615,8111792,9893206.389017878,-0.91,High
Medical Research,-,7402948,6857614,545334,8251081.529459983,8.51,Medium
R&D,Jan-24,2713808,3166528,-452720,2468419.785877133,5.8,-
Space Exploration,Apr-24,3135058,9815548,-6680490,2645782.446509433,8.07,Medium
R&D,Mar-24,9409682,2544797,6864885,9395614.40116543,1,Medium
,Oct-24,6108868,2938897,3169971,5439006.67708173,14.59,
Space Exploration,Sep-24,9462034,2603459,6858575,6851937.185286541,11.59,Medium
Medical Research,May-24,8130787,8749980,-619193,,8.6,Medium
Tech Innovation,Jun-24,11872950,9355252,2517698,11964427.60601631,9.31,High
Energy Production,,5450910,5921665,-470755,4087873.356139765,9.69,Medium
Tech Innovation,Aug-24,11033583,8618432,2415151,13142792.46705131,12.48,Low
Space Exploration,,7035843,5194039,1841804,7590551.68193747,4.96,Low
Space Exploration,Dec-24,8627193,7987885,639308,6072250.477060441,13.24,Low
Energy Production,Nov-24,6450796,8433918,-1983122,7108309.571921591,4.94,High
Administration,Dec-24,11634341,5460358,6173983,13089632.04886055,-0.28,Medium
Administration,,6248932,4691551,1557381,6281787.034749411,2.64,High
Medical Research,Jul-24,2177201,7391091,-5213890,2295274.922537762,-3.94,Medium
Cybersecurity,Mar-24,8737474,,4910649,7033450.087368537,10.91,High
Defense Systems,Jul-24,10716699,8185016,2531683,7591164.511113601,2.27,Medium
Defense Systems,Sep-24,2605397,1607528,997869,2477350.85755815,-3.23,
,Oct-24,5921044,5594492,326552,6285177.106334705,12.24,-
Cybersecurity,Sep-24,nil,3495642,3513848,5643565.06051398,4.29,
,Sep-24,10748412,3125422,7622990,8829519.642869426,4.27,-
Cybersecurity,Feb-24,9179288,3300768,5878520,,-1.47,High
Cybersecurity,Feb-24,11117757,10267597,850160,10909522.76431614,1.14,Medium
R&D,Oct-24,5139249,1698729,3440520,4619441.887316828,3.54,Medium
Administration,Apr-24,5583275,8105982,-2522707,5694520.986393141,8.16,Low
Administration,Dec-24,3328139,9313441,-5985302,3852905.832370903,8.78,Medium
Defense Systems,Apr-24,2350308,3141764,-791456,2093218.849587333,5.79,Medium
Medical Research,Jun-24,11166603,1935923,9230680,13357016.37351498,-,Medium
Cybersecurity,Dec-24,7674305,8217032,-542727,,3.43,High
,Jul-24,5852686,9041931,-3189245,5838836.062055197,-1.71,Low
Space Exploration,Apr-24,4412735,2642405,1770330,3976330.418113414,-0.28,Medium
Administration,Dec-24,11516915,4258712,7258203,10029419.00282031,14.03,High
Space Exploration,nil,8513477,4575309,3938168,9815448.24815002,12.95,Low
Tech Innovation,Aug-24,10612403,10254938,357465,11174591.38832949,11.08,Low
Defense Systems,Mar-24,7491682,2895767,4595915,6832578.402374286,2.15,Medium
Medical Research,Feb-24,5890052,5625144,264908,5213532.143730499,,High
Space Exploration,Nov-24,6651390,2908757,3742633,5214738.512064653,2.25,High
Space Exploration,-,10890053,9863036,1027017,,6.64,Medium
Space Exploration,Oct-24,3490670,10656947,-7166277,4070757.970188961,-,Medium
Defense Systems,Nov-24,9233186,2888177,6345009,8735066.347054502,-3.28,Medium
Defense Systems,Dec-24,,2569358,7891041,9590570.529168112,-3.92,High
-,Jul-24,11731751,6881684,4850067,11760552.57586765,7.9,High
Energy Production,Apr-24,11466784,5799223,5667561,10287035.68555238,3.14,-
Cybersecurity,Mar-24,8547214,4150779,4396435,6000034.313074653,-1.32,Low
Cybersecurity,Jan-24,9930466,6204906,3725560,11346824.33552605,4.11,High
Tech Innovation,Jan-24,6287811,9950162,-3662351,7307236.467678284,9.27,Low
Space Exploration,Jan-24,11587842,8523927,3063915,11762763.3110573,9.48,Medium
Energy Production,Oct-24,4155815,5499251,-1343436,3670281.022368437,-1.21,
Cybersecurity,Dec-24,6962399,,4712454,6253550.002465051,3.64,Medium
Space Exploration,Jun-24,6611820,8467157,-1855337,6876473.86664563,0.12,Low
Cybersecurity,Nov-24,10058551,3564980,6493571,7399529.105936634,10.6,Low
R&D,,9644557,3808723,,10963282.97347129,-1.81,Medium
Medical Research,Aug-24,,2392617,5882207,9794852.411981875,-0.37,Low
Administration,Jan-24,6032362,,-3263486,7026310.54390893,-0.14,
Energy Production,Dec-24,2453809,4280376,-1826567,,13.61,Low
Defense Systems,Aug-24,10812855,6690424,4122431,10124664.25677607,-1.26,Medium
Energy Production,Jan-24,-,1565453,5145551,6857218.48607254,-1.87,Medium
Space Exploration,Jun-24,8846921,1719523,7127398,10557537.10118699,8.64,High
R&D,Apr-24,6863360,,654935,7701389.803785405,7.61,Medium
Energy Production,Mar-24,6859312,10348031,-3488719,6411206.218113653,7.99,Medium
Administration,Jun-24,5589153,9081018,-3491865,6112327.660640653,14.68,High
R&D,Nov-24,2095529,1988325,107204,1905399.265063735,2.04,Low
Defense Systems,Aug-24,2359897,7407272,-5047375,2357561.723096953,7.29,Medium
Energy Production,Dec-24,11630723,10643651,,10724829.48840214,nil,High
Space Exploration,Sep-24,2147230,4566790,-2419560,2481334.758419932,11.41,High
Medical Research,Jun-24,9360775,9562701,-201926,9732845.069261333,,Low
Energy Production,,2342412,6998016,-4655604,2798969.475395741,-2.36,High
Medical Research,Dec-24,2049953,9912858,-7862905,2151204.803439852,13,High
Energy Production,Sep-24,4572690,1788021,2784669,4803265.26659652,3.24,High
R&D,Dec-24,7573800,4784454,2789346,5857979.657291349,,High
Medical Research,Mar-24,2464577,9895376,-7430799,2304805.802804942,-1.19,Low
Defense Systems,Aug-24,,2380557,5769861,9028509.267113099,-3.96,Low
Medical Research,Sep-24,7635725,5779593,1856132,6097694.399738207,5.57,High
Tech Innovation,Aug-24,4177620,10033487,-5855867,3841500.868442179,8.17,Medium
Defense Systems,Mar-24,2087511,1540925,546586,1717906.638171668,1.51,Medium
Space Exploration,Oct-24,9347661,7053739,2293922,9754626.456061393,-2.74,Low
,Jun-24,8382515,8835525,-453010,9922070.29102748,5.77,Low
Administration,Aug-24,9861825,9757324,104501,,10.69,High
Defense Systems,Aug-24,6905565,10022231,-3116666,5307274.914365126,8.6,High
Cybersecurity,Jun-24,,2122607,872080,2925905.33951983,7.11,
Tech Innovation,Aug-24,11772111,7287534,4484577,13454652.28878533,8.16,Medium
Energy Production,,11374347,,8958612,13231318.68738011,11.05,Low
-,Dec-24,,10679485,-7758825,,4.43,Medium
Medical Research,,6114617,7489212,-1374595,5952885.718604133,10.29,High
Energy Production,Jul-24,9668405,2808219,6860186,9321870.29153794,2.59,High
R&D,Jan-24,2500974,9220050,-6719076,2595339.127191912,6.09,Medium
Medical Research,Sep-24,nil,5051785,4892728,9420533.78197718,13.42,Medium
Space Exploration,Sep-24,6006100,10029337,-4023237,6309408.542431693,-1.36,Medium
Space Exploration,Jun-24,3987903,5975361,-1987458,4438458.301642833,-3.97,Medium
Medical Research,Nov-24,11313902,7709975,-,8409429.045556117,4.8,Medium
Cybersecurity,May-24,10097577,2174538,7923039,10178234.94433229,8.31,High
Tech Innovation,Nov-24,3459770,7387747,-3927977,2931881.689633812,11.96,nil
Space Exploration,Mar-24,,8926132,2154715,12289461.25441873,12.46,Medium
Defense Systems,Feb-24,2554258,2863613,-309355,3008320.358363848,13.6,Low
Cybersecurity,Nov-24,8006489,4590537,3415952,7395226.311048433,2.15,Medium
,,9787778,10370003,,11430481.45556128,-1.78,High
Administration,Sep-24,10180090,3824410,6355680,10809835.91918879,,Medium
Administration,Oct-24,9660970,5325895,4335075,9671003.734746935,1.43,High
Space Exploration,,2646255,7828826,-5182571,2167648.121412927,-1.31,Medium
Energy Production,Dec-24,9339788,7562265,1777523,11197253.93156537,4.33,Low
Defense Systems,Aug-24,2268585,4470074,-2201489,2129489.280892047,,Low
Space Exploration,Apr-24,2980850,7602117,-4621267,3380952.138055383,,Medium
Cybersecurity,-,,9969162,1715116,8365964.112782314,6.33,High
Space Exploration,Oct-24,11497034,5964185,5532849,12980751.06233357,6.78,Medium
Energy Production,Feb-24,11747243,6251247,5495996,9514116.049069168,1.44,Medium
Tech Innovation,Dec-24,3757861,2716292,1041569,3273526.436006268,-1.26,Low
Space Exploration,Feb-24,,3840914,6495753,10184943.3059319,13.07,Low
Cybersecurity,Dec-24,8090873,8987134,-896261,8235336.003717628,1.47,Medium
Space Exploration,Nov-24,5137825,10087819,-4949994,3743729.176750042,5.59,Low
